"legacy_path","top_folder","legacy_type","title","bytes","heading_count","first_headings","url_count","wikilink_count","table_line_count","content_flags","migration_action","target_primary","target_secondary","risk_flags"
"akteur\04_planung_architektur_ingenieurwesen\Lendager.md","akteur","","Lendager","20371","27","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Entwurfslogik: Form follows availability | Material-Upcycling und Remanufacturing | Skalierung in den Wohnungsbau | Schnittstelle zu A:GAIN","14","15","0","external_urls;wikilinks;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Lendager","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\LXSY_Architektur.md","akteur","","LXSY Architektur","11616","23","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Zirkulärer Innenausbau | Materialkuratierung und „use as found“ | Produkt- und Materialpässe | Rückbaubare und sortenreine Konstruktionen","7","12","0","external_urls;wikilinks;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/LXSY_Architektur","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\PARABASE.md","akteur","","PARABASE — vertieftes Forschungsdossier","41954","90","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Akteursprofil | Fallstudie „ELEMENTA“, Areal Walkeweg Nord Basel | Methoden | Bedeutung für den Forschungsstand","17","0","0","external_urls;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/PARABASE","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\Rotor.md","akteur","","Rotor","10300","15","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Leistungsfelder | Rotor als Übersetzer zwischen Forschung und Baustelle | Verhältnis zu Opalis | Verhältnis zu RotorDC","6","0","0","external_urls;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Rotor","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\Superuse_Studios.md","akteur","","Superuse Studios","18635","22","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Harvesting Materials | Oogstkaart / Harvest Map | Circular Building Process | Building Reuse","12","14","0","external_urls;wikilinks;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Superuse_Studios","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\Werner_Sobek.md","akteur","","","5064","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Werner_Sobek","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\ZRS_Architekten_Ingenieure.md","akteur","","ZRS Architekten Ingenieure","46278","94","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Material- und Planungsschwerpunkt | Rolle von Labor und Prüfung | Reallabor B(E) WARE | Normung und Wissenstransfer","24","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/ZRS_Architekten_Ingenieure","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","akteur","","Concular — vertieftes Forschungsdossier","51959","138","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Akteursprofil | Rolle im ReUse-Ökosystem | Methodische Bausteine | Bedeutung für den Markt","17","0","0","component_inventory;external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","semantic_split","akteur/Concular","software_digitaltool/Concular_Plattform; software_digitaltool/Restado; methode/Pre_Deconstruction_Audit; datenmodell/Gebaeuderessourcenpass; beschaffungsweg/Digitale_Plattform","hybrid_actor_platform_profile;duplicate_with_werkzeug_Concular_Plattform_and_bauteilboerse_restado"
"akteur\05_reuse_beratung_prozessdienstleister\Drees_und_Sommer.md","akteur","","Drees & Sommer","2934","7","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Praxisbezug / Beispiele | Herausforderungen / offene Fragen | Quellen","4","9","0","external_urls;wikilinks;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Drees_und_Sommer","akteurtyp/reuse_beratung_prozessdienstleister",""
"akteur\05_reuse_beratung_prozessdienstleister\EPEA.md","akteur","","","4786","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","5","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/EPEA","akteurtyp/reuse_beratung_prozessdienstleister",""
"akteur\05_reuse_beratung_prozessdienstleister\Zirkular_GmbH.md","akteur","","Zirkular GmbH","2880","7","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Praxisbezug / Beispiele | Herausforderungen / offene Fragen | Quellen","5","9","0","external_urls;wikilinks;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Zirkular_GmbH","akteurtyp/reuse_beratung_prozessdienstleister",""
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","akteur","","","4960","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;platform_terms;numeric_or_metric_terms","semantic_split","akteur/Bauteilboerse_Bremen","software_digitaltool/Bauteilboerse_Bremen; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","akteur","","Bauteilbörse Hannover","2918","7","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Praxisbezug / Beispiele | Herausforderungen / offene Fragen | Quellen","4","9","0","external_urls;wikilinks;has_sources_section;platform_terms","semantic_split","akteur/Bauteilboerse_Hannover","software_digitaltool/Bauteilboerse_Hannover; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","akteur","","","4831","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;platform_terms;numeric_or_metric_terms","semantic_split","akteur/Bauteilnetz_Deutschland","software_digitaltool/Bauteilnetz_Deutschland; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","akteur","","","5282","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","semantic_split","akteur/Lindner_Group_ReUsed_Products","software_digitaltool/Lindner_Group_ReUsed_Products; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","akteur","","","5156","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","semantic_split","akteur/Restado","software_digitaltool/Restado; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","akteur","","Rotor DC","42676","112","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Organisationsmodell | Material- und Produktschwerpunkt | Dienstleistungen | Qualitäts- und Ethikprinzipien","21","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","semantic_split","akteur/Rotor_DC","software_digitaltool/Rotor_DC; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates"
"akteur\07_materialinitiativen_hubs\BIZH.md","akteur","","BIZH","42672","125","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Rolle im Ökosystem | Abgrenzung zu anderen Akteursarten | Typische Arbeitsfragen | Kriterien für die Aufnahme in das Forschungsrepo","14","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/BIZH","akteurtyp/materialinitiativen_hubs",""
"akteur\07_materialinitiativen_hubs\CRCLR_House.md","akteur","","CRCLR House","41378","109","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Rolle als Fallstudie | Unterschied zu Materialinitiativen | Schnittstelle zu Planung und Nachweis | Praxisbezug / Beispiele","7","0","0","external_urls;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/CRCLR_House","akteurtyp/materialinitiativen_hubs",""
"akteur\07_materialinitiativen_hubs\Haus_der_Materialisierung.md","akteur","","Haus der Materialisierung","43856","129","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Rolle als ReUse-Hub | Unterschied zu klassischen Bauteilbörsen | Relevante Materiallogik | Schnittstelle zu Architektur und Bauwesen","20","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Haus_der_Materialisierung","akteurtyp/materialinitiativen_hubs",""
"akteur\07_materialinitiativen_hubs\IfM_Initiativen_fuer_Materialkreislaeufe.md","akteur","","IfM – Initiativen für Materialkreisläufe","2920","7","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Praxisbezug / Beispiele | Herausforderungen / offene Fragen | Quellen","4","9","0","external_urls;wikilinks;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/IfM_Initiativen_fuer_Materialkreislaeufe","akteurtyp/materialinitiativen_hubs",""
